id,title,summary,authors,published,author_count
http://arxiv.org/abs/2405.21068v1,Code Pretraining Improves Entity Tracking Abilities of Language Models,"  Recent work has provided indirect evidence that pretraining language models
on code improves the ability of models to track state changes of discourse
entities expressed in natural language. In this work, we systematically test
this claim by comparing pairs of language models on their entity tracking
performance. Critically, the pairs consist of base models and models trained on
top of these base models with additional code data. We extend this analysis to
additionally examine the effect of math training, another highly structured
data type, and alignment tuning, an important step for enhancing the usability
of models. We find clear evidence that models additionally trained on large
amounts of code outperform the base models. On the other hand, we find no
consistent benefit of additional math training or alignment tuning across
various model families.
","['Najoung Kim', 'Sebastian Schuster', 'Shubham Toshniwal']",2024-05-31T17:56:33Z,3
http://arxiv.org/abs/2405.21064v1,"Recurrent neural networks: vanishing and exploding gradients are not the
  end of the story","  Recurrent neural networks (RNNs) notoriously struggle to learn long-term
memories, primarily due to vanishing and exploding gradients. The recent
success of state-space models (SSMs), a subclass of RNNs, to overcome such
difficulties challenges our theoretical understanding. In this paper, we delve
into the optimization challenges of RNNs and discover that, as the memory of a
network increases, changes in its parameters result in increasingly large
output variations, making gradient-based learning highly sensitive, even
without exploding gradients. Our analysis further reveals the importance of the
element-wise recurrence design pattern combined with careful parametrizations
in mitigating this effect. This feature is present in SSMs, as well as in other
architectures, such as LSTMs. Overall, our insights provide a new explanation
for some of the difficulties in gradient-based learning of RNNs and why some
architectures perform better than others.
","['Nicolas Zucchet', 'Antonio Orvieto']",2024-05-31T17:53:00Z,2
http://arxiv.org/abs/2405.21047v1,Grammar-Aligned Decoding,"  Large Language Models (LLMs) struggle with reliably generating highly
structured outputs, such as program code, mathematical formulas, or well-formed
markup. Constrained decoding approaches mitigate this problem by greedily
restricting what tokens an LLM can output at each step to guarantee that the
output matches a given constraint. Specifically, in grammar-constrained
decoding (GCD), the LLM's output must follow a given grammar. In this paper we
demonstrate that GCD techniques (and in general constrained decoding
techniques) can distort the LLM's distribution, leading to outputs that are
grammatical but appear with likelihoods that are not proportional to the ones
given by the LLM, and so ultimately are low-quality. We call the problem of
aligning sampling with a grammar constraint, grammar-aligned decoding (GAD),
and propose adaptive sampling with approximate expected futures (ASAp), a
decoding algorithm that guarantees the output to be grammatical while provably
producing outputs that match the conditional probability of the LLM's
distribution conditioned on the given grammar constraint. Our algorithm uses
prior sample outputs to soundly overapproximate the future grammaticality of
different output prefixes. Our evaluation on code generation and structured NLP
tasks shows how ASAp often produces outputs with higher likelihood (according
to the LLM's distribution) than existing GCD techniques, while still enforcing
the desired grammatical constraints.
","['Kanghee Park', 'Jiayu Wang', 'Taylor Berg-Kirkpatrick', 'Nadia Polikarpova', ""Loris D'Antoni""]",2024-05-31T17:39:15Z,5
http://arxiv.org/abs/2405.21046v1,"Exploratory Preference Optimization: Harnessing Implicit
  Q*-Approximation for Sample-Efficient RLHF","  Reinforcement learning from human feedback (RLHF) has emerged as a central
tool for language model alignment. We consider online exploration in RLHF,
which exploits interactive access to human or AI feedback by deliberately
encouraging the model to produce diverse, maximally informative responses. By
allowing RLHF to confidently stray from the pre-trained model, online
exploration offers the possibility of novel, potentially super-human
capabilities, but its full potential as a paradigm for language model training
has yet to be realized, owing to computational and statistical bottlenecks in
directly adapting existing reinforcement learning techniques. We propose a new
algorithm for online exploration in RLHF, Exploratory Preference Optimization
(XPO), which is simple and practical -- a one-line change to (online) Direct
Preference Optimization (DPO; Rafailov et al., 2023) -- yet enjoys the
strongest known provable guarantees and promising empirical performance. XPO
augments the DPO objective with a novel and principled exploration bonus,
empowering the algorithm to explore outside the support of the initial model
and human feedback data. In theory, we show that XPO is provably
sample-efficient and converges to a near-optimal language model policy under
natural exploration conditions, irrespective of whether the initial model has
good coverage. Our analysis, which builds on the observation that DPO
implicitly performs a form of $Q^{\star}$-approximation (or, Bellman error
minimization), combines previously disparate techniques from language modeling
and theoretical reinforcement learning in a serendipitous fashion through the
perspective of KL-regularized Markov decision processes. Empirically, we find
that XPO is more sample-efficient than non-exploratory DPO variants in a
preliminary evaluation.
","['Tengyang Xie', 'Dylan J. Foster', 'Akshay Krishnamurthy', 'Corby Rosset', 'Ahmed Awadallah', 'Alexander Rakhlin']",2024-05-31T17:39:06Z,6
http://arxiv.org/abs/2405.21030v1,Standards for Belief Representations in LLMs,"  As large language models (LLMs) continue to demonstrate remarkable abilities
across various domains, computer scientists are developing methods to
understand their cognitive processes, particularly concerning how (and if) LLMs
internally represent their beliefs about the world. However, this field
currently lacks a unified theoretical foundation to underpin the study of
belief in LLMs. This article begins filling this gap by proposing adequacy
conditions for a representation in an LLM to count as belief-like. We argue
that, while the project of belief measurement in LLMs shares striking features
with belief measurement as carried out in decision theory and formal
epistemology, it also differs in ways that should change how we measure belief.
Thus, drawing from insights in philosophy and contemporary practices of machine
learning, we establish four criteria that balance theoretical considerations
with practical constraints. Our proposed criteria include accuracy, coherence,
uniformity, and use, which together help lay the groundwork for a comprehensive
understanding of belief representation in LLMs. We draw on empirical work
showing the limitations of using various criteria in isolation to identify
belief representations.
","['Daniel A. Herrmann', 'Benjamin A. Levinstein']",2024-05-31T17:21:52Z,2
http://arxiv.org/abs/2405.20978v1,"Enhancing Noise Robustness of Retrieval-Augmented Language Models with
  Adaptive Adversarial Training","  Large Language Models (LLMs) exhibit substantial capabilities yet encounter
challenges, including hallucination, outdated knowledge, and untraceable
reasoning processes. Retrieval-augmented generation (RAG) has emerged as a
promising solution, integrating knowledge from external databases to mitigate
these challenges. However, inappropriate retrieved passages can potentially
hinder the LLMs' capacity to generate comprehensive and high-quality responses.
Prior RAG studies on the robustness of retrieval noises often confine
themselves to a limited set of noise types, deviating from real-world retrieval
environments and limiting practical applicability. In this study, we initially
investigate retrieval noises and categorize them into three distinct types,
reflecting real-world environments. We analyze the impact of these various
retrieval noises on the robustness of LLMs. Subsequently, we propose a novel
RAG approach known as Retrieval-augmented Adaptive Adversarial Training (RAAT).
RAAT leverages adaptive adversarial training to dynamically adjust the model's
training process in response to retrieval noises. Concurrently, it employs
multi-task learning to ensure the model's capacity to internally recognize
noisy contexts. Extensive experiments demonstrate that the LLaMA-2 7B model
trained using RAAT exhibits significant improvements in F1 and EM scores under
diverse noise conditions. For reproducibility, we release our code and data at:
https://github.com/calubkk/RAAT.
","['Feiteng Fang', 'Yuelin Bai', 'Shiwen Ni', 'Min Yang', 'Xiaojun Chen', 'Ruifeng Xu']",2024-05-31T16:24:53Z,6
http://arxiv.org/abs/2405.20974v1,"SaySelf: Teaching LLMs to Express Confidence with Self-Reflective
  Rationales","  Large language models (LLMs) often generate inaccurate or fabricated
information and generally fail to indicate their confidence, which limits their
broader applications. Previous work elicits confidence from LLMs by direct or
self-consistency prompting, or constructing specific datasets for supervised
finetuning. The prompting-based approaches have inferior performance, and the
training-based approaches are limited to binary or inaccurate group-level
confidence estimates. In this work, we present the advanced SaySelf, a training
framework that teaches LLMs to express more accurate fine-grained confidence
estimates. In addition, beyond the confidence scores, SaySelf initiates the
process of directing LLMs to produce self-reflective rationales that clearly
identify gaps in their parametric knowledge and explain their uncertainty. This
is achieved by using an LLM to automatically summarize the uncertainties in
specific knowledge via natural language. The summarization is based on the
analysis of the inconsistency in multiple sampled reasoning chains, and the
resulting data is utilized for supervised fine-tuning. Moreover, we utilize
reinforcement learning with a meticulously crafted reward function to calibrate
the confidence estimates, motivating LLMs to deliver accurate, high-confidence
predictions and to penalize overconfidence in erroneous outputs. Experimental
results in both in-distribution and out-of-distribution datasets demonstrate
the effectiveness of SaySelf in reducing the confidence calibration error and
maintaining the task performance. We show that the generated self-reflective
rationales are reasonable and can further contribute to the calibration. The
code is made public at \url{https://github.com/xu1868/SaySelf}.
","['Tianyang Xu', 'Shujin Wu', 'Shizhe Diao', 'Xiaoze Liu', 'Xingyao Wang', 'Yangyi Chen', 'Jing Gao']",2024-05-31T16:21:16Z,7
http://arxiv.org/abs/2405.20962v1,Large Language Models are Zero-Shot Next Location Predictors,"  Predicting the locations an individual will visit in the future is crucial
for solving many societal issues like disease diffusion and reduction of
pollution among many others. The models designed to tackle next-location
prediction, however, require a significant amount of individual-level
information to be trained effectively. Such data may be scarce or even
unavailable in some geographic regions or peculiar scenarios (e.g., cold-start
in recommendation systems). Moreover, the design of a next-location predictor
able to generalize or geographically transfer knowledge is still an open
research challenge. Recent advances in natural language processing have led to
a rapid diffusion of Large Language Models (LLMs) which have shown good
generalization and reasoning capabilities. These insights, coupled with the
recent findings that LLMs are rich in geographical knowledge, allowed us to
believe that these models can act as zero-shot next-location predictors. This
paper evaluates the capabilities of many popular LLMs in this role,
specifically Llama, GPT-3.5 and Mistral 7B. After designing a proper prompt, we
tested the models on three real-world mobility datasets. The results show that
LLMs can obtain accuracies up to 32.4%, a significant relative improvement of
over 600% when compared to sophisticated DL models specifically designed for
human mobility. Moreover, we show that other LLMs are unable to perform the
task properly. To prevent positively biased results, we also propose a
framework inspired by other studies to test data contamination. Finally, we
explored the possibility of using LLMs as text-based explainers for
next-location prediction showing that can effectively provide an explanation
for their decision. Notably, 7B models provide more generic, but still
reliable, explanations compared to larger counterparts. Code:
github.com/ssai-trento/LLM-zero-shot-NL
","['Ciro Beneduce', 'Bruno Lepri', 'Massimiliano Luca']",2024-05-31T16:07:33Z,3
http://arxiv.org/abs/2405.20947v1,OR-Bench: An Over-Refusal Benchmark for Large Language Models,"  Large Language Models (LLMs) require careful safety alignment to prevent
malicious outputs. While significant research focuses on mitigating harmful
content generation, the enhanced safety often come with the side effect of
over-refusal, where the LLMs may reject innocuous prompts and become less
helpful. Although the issue of over-refusal has been empirically observed, a
systematic measurement is challenging due to the difficulty of crafting prompts
that appear harmful but are benign. This study proposes a novel method for
automatically generating large-scale sets of ``seemingly toxic prompts''
(benign prompts likely rejected by LLMs). Leveraging this technique, we
introduce OR-Bench, the first large-scale over-refusal benchmark. OR-Bench
comprises 80,000 seemingly toxic prompts across 10 common rejection categories,
a subset of around 1,000 hard prompts that are challenging even for
state-of-the-art LLMs, and an additional 600 toxic prompts to prevent
indiscriminate responses. We then conduct a comprehensive study to measure the
over-refusal of 25 popular LLMs across 8 model families. Our datasets are
available at https://huggingface.co/datasets/bench-llm/OR-Bench and the
corresponding demo can be found at
https://huggingface.co/spaces/bench-llm/or-bench. We hope this benchmark can
help the community develop better safety aligned models.
","['Justin Cui', 'Wei-Lin Chiang', 'Ion Stoica', 'Cho-Jui Hsieh']",2024-05-31T15:44:33Z,4
http://arxiv.org/abs/2405.20935v1,"Effective Interplay between Sparsity and Quantization: From Theory to
  Practice","  The increasing size of deep neural networks necessitates effective model
compression to improve computational efficiency and reduce their memory
footprint. Sparsity and quantization are two prominent compression methods that
have individually demonstrated significant reduction in computational and
memory footprints while preserving model accuracy. While effective, the
interplay between these two methods remains an open question. In this paper, we
investigate the interaction between these two methods and assess whether their
combination impacts final model accuracy. We mathematically prove that applying
sparsity before quantization is the optimal sequence for these operations,
minimizing error in computation. Our empirical studies across a wide range of
models, including OPT and Llama model families (125M-8B) and ViT corroborate
these theoretical findings. In addition, through rigorous analysis, we
demonstrate that sparsity and quantization are not orthogonal; their
interaction can significantly harm model accuracy, with quantization error
playing a dominant role in this degradation. Our findings extend to the
efficient deployment of large models in resource-limited compute platforms and
reduce serving cost, offering insights into best practices for applying these
compression methods to maximize efficacy without compromising accuracy.
","['Simla Burcu Harma', 'Ayan Chakraborty', 'Elizaveta Kostenok', 'Danila Mishin', 'Dongho Ha', 'Babak Falsafi', 'Martin Jaggi', 'Ming Liu', 'Yunho Oh', 'Suvinay Subramanian', 'Amir Yazdanbakhsh']",2024-05-31T15:34:13Z,11
